Date,Open,High,Low,Close,Change (Pips),Change (%)
1/2/2018 0:00,112.576,112.79,112.053,112.285,-29.1,-0.26%
1/3/2018 0:00,112.274,112.608,112.17,112.508,23.4,0.21%
1/4/2018 0:00,112.5,112.861,112.457,112.746,24.6,0.22%
1/5/2018 0:00,112.74,113.306,112.714,113.052,31.2,0.28%
1/8/2018 0:00,113.123,113.384,112.878,113.087,-3.6,-0.03%
1/9/2018 0:00,113.089,113.18,112.367,112.649,-44,-0.39%
1/10/2018 0:00,112.644,112.785,111.269,111.43,-121.4,-1.09%
1/11/2018 0:00,111.427,111.873,111.042,111.265,-16.2,-0.15%
1/12/2018 0:00,111.256,111.695,110.912,111.04,-21.6,-0.19%
1/15/2018 0:00,111.075,111.184,110.329,110.527,-54.8,-0.50%
1/16/2018 0:00,110.528,110.982,110.245,110.471,-5.7,-0.05%
1/17/2018 0:00,110.449,111.346,110.193,111.302,85.3,0.77%
1/18/2018 0:00,111.277,111.48,110.69,111.101,-17.6,-0.16%
1/19/2018 0:00,111.096,111.132,110.492,110.821,-27.5,-0.25%
1/22/2018 0:00,110.569,111.226,110.503,110.936,36.7,0.33%
1/23/2018 0:00,110.913,111.18,110.253,110.291,-62.2,-0.56%
1/24/2018 0:00,110.305,110.336,108.968,109.221,-108.4,-0.99%
1/25/2018 0:00,109.213,109.703,108.499,109.409,19.6,0.18%
1/26/2018 0:00,109.404,109.768,108.279,108.641,-76.3,-0.70%
1/29/2018 0:00,108.701,109.204,108.509,108.959,25.8,0.24%
1/30/2018 0:00,108.949,109.207,108.415,108.782,-16.7,-0.15%
1/31/2018 0:00,108.771,109.444,108.593,109.18,40.9,0.37%
2/1/2018 0:00,109.18,109.751,109.095,109.403,22.3,0.20%
2/2/2018 0:00,109.408,110.485,109.28,110.174,76.6,0.70%
2/5/2018 0:00,110.181,110.292,108.992,109.148,-103.3,-0.95%
2/6/2018 0:00,109.082,109.653,108.456,109.559,47.7,0.44%
2/7/2018 0:00,109.553,109.711,108.92,109.335,-21.8,-0.20%
2/8/2018 0:00,109.322,109.786,108.583,108.757,-56.5,-0.52%
2/9/2018 0:00,108.733,109.309,108.045,108.803,7,0.06%
2/12/2018 0:00,108.842,108.886,108.436,108.659,-18.3,-0.17%
2/13/2018 0:00,108.653,108.78,107.408,107.815,-83.8,-0.78%
2/14/2018 0:00,107.817,107.902,106.72,107.015,-80.2,-0.75%
2/15/2018 0:00,106.995,107.007,106.035,106.147,-84.8,-0.80%
2/16/2018 0:00,106.117,106.4,105.547,106.29,17.3,0.16%
2/19/2018 0:00,106.33,106.73,106.096,106.588,25.8,0.24%
2/20/2018 0:00,106.589,107.38,106.562,107.325,73.6,0.69%
2/21/2018 0:00,107.322,107.904,107.277,107.776,45.4,0.42%
2/22/2018 0:00,107.773,107.774,106.596,106.753,-102,-0.96%
2/23/2018 0:00,106.743,107.131,106.509,106.851,10.8,0.10%
